device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power
AC,100,cold,2018-01-01,02:00:00,03:00:00,midnight,0,0,1496
AC,100,low hot,2018-01-01,08:00:00,09:00:00,morning,1,17,1633
AC,100,hot,2018-01-01,11:00:00,12:00:00,morning,13,39,1084
AC,100,hot,2018-01-01,16:00:00,17:00:00,evening,0,0,1763
AC,100,low cold,2018-01-01,17:00:00,18:00:00,evening,2,39,1571
AC,100,low cold,2018-01-01,22:00:00,23:00:00,night,13,53,1817
AC,100,very cold,2018-01-01,23:00:00,00:00:00,midnight,5,1,1129
AC,100,low cold,2018-01-02,00:00:00,01:00:00,midnight,14,13,1985
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,3,54,1106
AC,100,very cold,2018-01-02,02:00:00,03:00:00,midnight,12,51,1910
AC,100,hot,2018-01-02,06:00:00,07:00:00,early morning,9,54,1155
AC,100,low cold,2018-01-02,08:00:00,09:00:00,morning,10,14,1556
AC,100,very hot,2018-01-02,13:00:00,14:00:00,afternoon,8,44,1314
AC,100,cold,2018-01-02,13:00:00,14:00:00,afternoon,14,31,1860
AC,100,cold,2018-01-02,13:00:00,14:00:00,afternoon,13,37,1203
AC,100,hot,2018-01-02,23:00:00,00:00:00,midnight,7,20,1609
AC,100,cold,2018-01-03,02:00:00,03:00:00,midnight,7,55,1638
AC,100,very cold,2018-01-03,21:00:00,22:00:00,night,1,3,1273
AC,100,low cold,2018-01-04,02:00:00,03:00:00,midnight,5,13,1772
AC,100,hot,2018-01-04,04:00:00,05:00:00,early morning,3,26,1990
AC,100,very cold,2018-01-04,04:00:00,05:00:00,early morning,8,21,1873
AC,100,cold,2018-01-04,05:00:00,06:00:00,early morning,1,35,1784
AC,100,cold,2018-01-04,05:00:00,06:00:00,early morning,15,43,1630
AC,100,very cold,2018-01-04,06:00:00,07:00:00,early morning,9,3,1021
AC,100,cold,2018-01-04,06:00:00,07:00:00,early morning,0,0,1257
AC,100,cold,2018-01-04,08:00:00,09:00:00,morning,1,57,1479
AC,100,cold,2018-01-04,08:00:00,09:00:00,morning,12,40,1894
AC,100,hot,2018-01-04,10:00:00,11:00:00,morning,12,31,1650
AC,100,cold,2018-01-04,19:00:00,20:00:00,night,2,4,1472
AC,100,low cold,2018-01-04,19:00:00,20:00:00,night,2,52,1260
AC,100,very cold,2018-01-04,21:00:00,22:00:00,night,13,40,1189
AC,100,very cold,2018-01-04,22:00:00,23:00:00,night,15,29,1763
AC,100,very cold,2018-01-05,06:00:00,07:00:00,early morning,2,47,1143
AC,100,low cold,2018-01-05,08:00:00,09:00:00,morning,13,13,1736
AC,100,low cold,2018-01-05,09:00:00,10:00:00,morning,1,34,1603
AC,100,hot,2018-01-05,16:00:00,17:00:00,evening,10,15,1788
Computer,100,very cold,2018-01-27,00:00:00,01:00:00,midnight,2,47,489
Computer,100,very cold,2018-01-27,10:00:00,11:00:00,morning,6,8,472
Computer,100,cold,2018-01-27,21:00:00,22:00:00,night,15,31,461
Computer,100,cold,2018-01-27,22:00:00,23:00:00,night,13,28,425
Computer,100,very cold,2018-01-28,00:00:00,01:00:00,midnight,3,51,343
Computer,100,very cold,2018-01-28,01:00:00,02:00:00,midnight,6,19,352
Computer,100,low hot,2018-01-28,12:00:00,13:00:00,afternoon,6,2,323
Computer,100,hot,2018-01-28,20:00:00,21:00:00,night,7,42,308
Computer,100,low cold,2018-01-28,20:00:00,21:00:00,night,6,48,452
Computer,100,cold,2018-01-28,21:00:00,22:00:00,night,0,0,369
Computer,100,low cold,2018-01-29,03:00:00,04:00:00,midnight,9,36,360
Computer,100,very hot,2018-01-29,03:00:00,04:00:00,midnight,7,57,477
Computer,100,very cold,2018-01-29,08:00:00,09:00:00,morning,12,57,393
Computer,100,very hot,2018-01-29,08:00:00,09:00:00,morning,8,35,458
Computer,100,hot,2018-01-29,13:00:00,14:00:00,afternoon,10,6,410
Computer,100,cold,2018-01-29,18:00:00,19:00:00,evening,2,39,322
