device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power
AC,100,hot,2018-01-01,00:00:00,01:00:00,midnight,3,21,1550.0
AC,100,very cold,2018-01-01,00:00:00,01:00:00,midnight,10,5,1533.0
AC,100,cold,2018-01-01,02:00:00,03:00:00,midnight,4,22,1745.0
AC,100,cold,2018-01-01,03:00:00,04:00:00,midnight,3,5,1766.0
AC,100,very cold,2018-01-01,05:00:00,06:00:00,early morning,2,35,1542.0
AC,100,very hot,2018-01-01,06:00:00,07:00:00,early morning,11,2,1533.0
AC,100,low hot,2018-01-01,10:00:00,11:00:00,morning,14,47,1499.0
AC,100,very cold,2018-01-01,10:00:00,11:00:00,morning,3,22,1813.0
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,8,59,1225.0
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,10,40,1074.0
AC,100,low cold,2018-01-02,02:00:00,03:00:00,midnight,15,36,1749.0
AC,100,very hot,2018-01-02,05:00:00,06:00:00,early morning,13,42,1295.0
AC,100,very hot,2018-01-02,10:00:00,11:00:00,morning,1,59,1893.0
AC,100,low cold,2018-01-02,13:00:00,14:00:00,afternoon,4,16,1155.0
AC,100,hot,2018-01-02,16:00:00,17:00:00,evening,13,41,1666.0
AC,100,hot,2018-01-02,18:00:00,19:00:00,evening,0,0,1880.0
AC,100,cold,2018-01-02,22:00:00,23:00:00,night,2,19,1203.0
AC,100,low hot,2018-01-03,03:00:00,04:00:00,midnight,9,29,1463.0
AC,100,very hot,2018-01-03,08:00:00,09:00:00,morning,2,36,1615.0
AC,100,low hot,2018-01-03,09:00:00,10:00:00,morning,4,14,1985.0
AC,100,cold,2018-01-03,10:00:00,11:00:00,morning,3,35,1854.0
AC,100,very cold,2018-01-03,10:00:00,11:00:00,morning,15,2,1862.0
AC,100,cold,2018-01-03,12:00:00,13:00:00,afternoon,7,40,1955.0
AC,100,very hot,2018-01-03,13:00:00,14:00:00,afternoon,3,13,1155.0
AC,100,low hot,2018-01-03,14:00:00,15:00:00,afternoon,0,0,1880.0
AC,100,very hot,2018-01-03,15:00:00,16:00:00,afternoon,3,53,1188.0
AC,100,very cold,2018-01-03,19:00:00,20:00:00,night,5,16,1242.0
AC,100,low hot,2018-01-03,22:00:00,23:00:00,night,3,28,1877.0
AC,100,low hot,2018-01-04,09:00:00,10:00:00,morning,11,11,1798.0
AC,100,low hot,2018-01-05,07:00:00,08:00:00,morning,5,57,1238.0
AC,100,very hot,2018-01-05,08:00:00,09:00:00,morning,1,53,1789.0
AC,100,hot,2018-01-05,09:00:00,10:00:00,morning,10,30,1486.0
AC,100,cold,2018-01-05,11:00:00,12:00:00,morning,13,15,1574.0
