device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,message,action,savings
AC,100,hot,2018-01-01,00:00:00,01:00:00,midnight,3,21,1554.55,"Moving 10 people from room 119 to room 105 saves 1474.9500000000025 of electricity, power consumption will reduce from 10661.460000000001 to 9186.509999999998",Turn off AC in room 119,1474.9500000000025
AC,100,very cold,2018-01-01,00:00:00,01:00:00,midnight,10,5,1505.533333333333,"Moving 10 people from room 119 to room 105 saves 1474.9500000000025 of electricity, power consumption will reduce from 10661.460000000001 to 9186.509999999998",Turn off AC in room 119,1474.9500000000025
AC,100,cold,2018-01-01,02:00:00,03:00:00,midnight,4,22,1597.54,"Moving 15 people from room 102 to room 105 saves 1371.0599999999995 of electricity, power consumption will reduce from 10413.666666666666 to 9042.606666666667",Turn off AC in room 102,1371.0599999999995
AC,100,cold,2018-01-01,03:00:00,04:00:00,midnight,3,5,1387.11,"Moving 7 people from room 110 to room 100 saves 1569.6833333333325 of electricity, power consumption will reduce from 10401.323333333332 to 8831.64",Turn off AC in room 110,1569.6833333333325
AC,100,very cold,2018-01-01,05:00:00,06:00:00,early morning,2,35,1509.756666666667,"Moving 2 people from room 100 to room 110 saves 1509.7566666666662 of electricity, power consumption will reduce from 10871.586666666666 to 9361.83",Turn off AC in room 100,1509.7566666666662
AC,100,very hot,2018-01-01,06:00:00,07:00:00,early morning,11,2,1514.003333333333,"Moving 6 people from room 101 to room 111 saves 1505.546666666669 of electricity, power consumption will reduce from 10750.446666666667 to 9244.899999999998",Turn off AC in room 101,1505.546666666669
AC,100,low hot,2018-01-01,10:00:00,11:00:00,morning,14,47,1432.053333333333,"Moving 2 people from room 103 to room 100 saves 1507.0333333333328 of electricity, power consumption will reduce from 10532.496666666666 to 9025.463333333333",Turn off AC in room 103,1507.0333333333328
AC,100,very cold,2018-01-01,10:00:00,11:00:00,morning,3,22,1651.3733333333332,"Moving 2 people from room 103 to room 100 saves 1507.0333333333328 of electricity, power consumption will reduce from 10532.496666666666 to 9025.463333333333",Turn off AC in room 103,1507.0333333333328
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,8,59,1344.2066666666667,None,Turn off AC in room 119,1557.1533333333336
AC,100,very cold,2018-01-02,01:00:00,02:00:00,midnight,10,40,1509.553333333333,None,Turn off AC in room 119,1557.1533333333336
AC,100,low cold,2018-01-02,02:00:00,03:00:00,midnight,15,36,1567.9233333333334,"Moving 6 people from room 112 to room 107 saves 1624.5900000000001 of electricity, power consumption will reduce from 10945.683333333334 to 9321.093333333334",Turn off AC in room 112,1624.5900000000001
