device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,message,action,savings
AC,100,very hot,2018-01-01,00:00:00,01:00:00,midnight,4,4,1539.078125,"Moving 2 people from room 113 to room 108 saves 1506.796875 of electricity, power consumption will reduce from 10664.91796875 to 9158.12109375",Turn off AC in room 113,1506.796875
AC,100,hot,2018-01-01,03:00:00,04:00:00,midnight,4,54,1522.43359375,"Moving 2 people from room 106 to room 104 saves 1499.8359375 of electricity, power consumption will reduce from 10533.703125 to 9033.8671875",Turn off AC in room 106,1499.8359375
AC,100,hot,2018-01-01,06:00:00,07:00:00,early morning,6,51,1510.93359375,"Moving 2 people from room 110 to room 101 saves 1456.27734375 of electricity, power consumption will reduce from 10412.65625 to 8956.37890625",Turn off AC in room 110,1456.27734375
AC,100,low hot,2018-01-01,10:00:00,11:00:00,morning,10,23,1508.8515625,"Moving 5 people from room 108 to room 101 saves 1458.26171875 of electricity, power consumption will reduce from 10414.57421875 to 8956.3125",Turn off AC in room 108,1458.26171875
AC,100,low cold,2018-01-01,14:00:00,15:00:00,afternoon,14,39,1511.828125,"Moving 5 people from room 105 to room 114 saves 1455.45703125 of electricity, power consumption will reduce from 10334.38671875 to 8878.9296875",Turn off AC in room 105,1455.45703125
AC,100,very hot,2018-01-01,21:00:00,22:00:00,night,6,27,1554.8046875,"Moving 5 people from room 114 to room 104 saves 1513.18359375 of electricity, power consumption will reduce from 10714.58984375 to 9201.40625",Turn off AC in room 114,1513.18359375
AC,100,low hot,2018-01-02,03:00:00,04:00:00,midnight,11,59,1516.85546875,"Moving 3 people from room 107 to room 101 saves 1495.015625 of electricity, power consumption will reduce from 10471.91796875 to 8976.90234375",Turn off AC in room 107,1495.015625
AC,100,low hot,2018-01-02,03:00:00,04:00:00,midnight,2,53,1516.3828125,"Moving 3 people from room 107 to room 101 saves 1495.015625 of electricity, power consumption will reduce from 10471.91796875 to 8976.90234375",Turn off AC in room 107,1495.015625
AC,100,low hot,2018-01-02,05:00:00,06:00:00,early morning,0,0,1505.09375,"Moving 9 people from room 102 to room 105 saves 1438.4609375 of electricity, power consumption will reduce from 10332.25390625 to 8893.79296875",Turn off AC in room 102,1438.4609375
AC,100,very cold,2018-01-02,07:00:00,08:00:00,morning,9,29,1490.90625,"Moving 1 people from room 106 to room 100 saves 1470.2109375 of electricity, power consumption will reduce from 10338.59765625 to 8868.38671875",Turn off AC in room 106,1470.2109375
AC,100,low hot,2018-01-02,09:00:00,10:00:00,morning,5,13,1531.02734375,"Moving 2 people from room 103 to room 108 saves 1476.234375 of electricity, power consumption will reduce from 10485.46875 to 9009.234375",Turn off AC in room 103,1476.234375
AC,100,very cold,2018-01-02,11:00:00,12:00:00,morning,6,55,1480.0234375,"Moving 6 people from room 100 to room 113 saves 1480.0234375 of electricity, power consumption will reduce from 10227.2734375 to 8747.25",Turn off AC in room 100,1480.0234375
AC,100,hot,2018-01-02,19:00:00,20:00:00,night,3,33,1511.4609375,"Moving 10 people from room 102 to room 105 saves 1450.640625 of electricity, power consumption will reduce from 10405.23046875 to 8954.58984375",Turn off AC in room 102,1450.640625
AC,100,very cold,2018-01-02,21:00:00,22:00:00,night,4,56,1514.75390625,"Moving 4 people from room 100 to room 116 saves 1514.75390625 of electricity, power consumption will reduce from 10487.2890625 to 8972.53515625",Turn off AC in room 100,1514.75390625
AC,100,cold,2018-01-02,23:00:00,00:00:00,midnight,9,36,1503.84375,"Moving 7 people from room 110 to room 100 saves 1472.53515625 of electricity, power consumption will reduce from 10433.52734375 to 8960.9921875",Turn off AC in room 110,1472.53515625
AC,100,very hot,2018-01-03,00:00:00,01:00:00,midnight,5,16,1524.55859375,"Moving 7 people from room 114 to room 113 saves 1482.82421875 of electricity, power consumption will reduce from 10468.59375 to 8985.76953125",Turn off AC in room 114,1482.82421875
AC,100,very hot,2018-01-03,02:00:00,03:00:00,midnight,0,0,1524.48046875,"Moving 4 people from room 114 to room 102 saves 1489.44140625 of electricity, power consumption will reduce from 10504.32421875 to 9014.8828125",Turn off AC in room 114,1489.44140625
AC,100,low hot,2018-01-03,09:00:00,10:00:00,morning,14,37,1539.61328125,"Moving 12 people from room 102 to room 107 saves 1456.83984375 of electricity, power consumption will reduce from 10502.03515625 to 9045.1953125",Turn off AC in room 102,1456.83984375
AC,100,very cold,2018-01-03,14:00:00,15:00:00,afternoon,1,41,1472.44921875,"Moving 1 people from room 115 to room 100 saves 1444.81640625 of electricity, power consumption will reduce from 10253.98828125 to 8809.171875",Turn off AC in room 115,1444.81640625
AC,100,low hot,2018-01-03,17:00:00,18:00:00,evening,2,47,1491.66796875,"Moving 11 people from room 112 to room 104 saves 1452.53125 of electricity, power consumption will reduce from 10265.828125 to 8813.296875",Turn off AC in room 112,1452.53125
AC,100,low cold,2018-01-03,17:00:00,18:00:00,evening,12,54,1489.44140625,"Moving 11 people from room 112 to room 104 saves 1452.53125 of electricity, power consumption will reduce from 10265.828125 to 8813.296875",Turn off AC in room 112,1452.53125
AC,100,hot,2018-01-03,23:00:00,00:00:00,midnight,6,48,1522.05078125,None,Turn off AC in room 113,1468.45703125
AC,100,hot,2018-01-04,02:00:00,03:00:00,midnight,1,28,1524.69140625,"Moving 2 people from room 102 to room 109 saves 1462.40234375 of electricity, power consumption will reduce from 10523.80859375 to 9061.40625",Turn off AC in room 102,1462.40234375
AC,100,low hot,2018-01-04,03:00:00,04:00:00,midnight,3,47,1526.69140625,"Moving 2 people from room 117 to room 116 saves 1500.2421875 of electricity, power consumption will reduce from 10483.2265625 to 8982.984375",Turn off AC in room 117,1500.2421875
AC,100,low cold,2018-01-04,09:00:00,10:00:00,morning,14,47,1547.14453125,"Moving 8 people from room 108 to room 106 saves 1499.73046875 of electricity, power consumption will reduce from 10650.234375 to 9150.50390625",Turn off AC in room 108,1499.73046875
AC,100,low cold,2018-01-04,12:00:00,13:00:00,afternoon,2,40,1544.4921875,"Moving 8 people from room 103 to room 105 saves 1482.10546875 of electricity, power consumption will reduce from 10537.84375 to 9055.73828125",Turn off AC in room 103,1482.10546875
AC,100,hot,2018-01-04,14:00:00,15:00:00,afternoon,0,0,1482.55859375,"Moving 15 people from room 108 to room 115 saves 1452.2890625 of electricity, power consumption will reduce from 10267.953125 to 8815.6640625",Turn off AC in room 108,1452.2890625
AC,100,very cold,2018-01-04,16:00:00,17:00:00,evening,14,23,1472.16796875,"Moving 7 people from room 108 to room 109 saves 1456.40625 of electricity, power consumption will reduce from 10244.19921875 to 8787.79296875",Turn off AC in room 108,1456.40625
AC,100,hot,2018-01-04,20:00:00,21:00:00,night,12,1,1484.91796875,"Moving 3 people from room 110 to room 106 saves 1447.3671875 of electricity, power consumption will reduce from 10265.96484375 to 8818.59765625",Turn off AC in room 110,1447.3671875
AC,100,low cold,2018-01-04,22:00:00,23:00:00,night,8,4,1533.0625,"Moving 12 people from room 102 to room 102 saves 1468.6171875 of electricity, power consumption will reduce from 10526.62109375 to 9058.00390625",Turn off AC in room 102,1468.6171875
AC,100,very hot,2018-01-04,22:00:00,23:00:00,night,0,0,1535.0390625,"Moving 12 people from room 102 to room 102 saves 1468.6171875 of electricity, power consumption will reduce from 10526.62109375 to 9058.00390625",Turn off AC in room 102,1468.6171875
AC,100,very hot,2018-01-05,05:00:00,06:00:00,early morning,3,2,1502.31640625,"Moving 15 people from room 101 to room 113 saves 1484.1796875 of electricity, power consumption will reduce from 10379.11328125 to 8894.93359375",Turn off AC in room 101,1484.1796875
AC,100,low hot,2018-01-05,15:00:00,16:00:00,afternoon,15,14,1501.0546875,"Moving 10 people from room 104 to room 103 saves 1430.875 of electricity, power consumption will reduce from 10302.59765625 to 8871.72265625",Turn off Lights in room 104,1430.875
AC,100,hot,2018-01-05,22:00:00,23:00:00,night,13,58,1519.0859375,"Moving 10 people from room 117 to room 115 saves 1471.3984375 of electricity, power consumption will reduce from 10514.55859375 to 9043.16015625",Turn off AC in room 117,1471.3984375
Computer,100,very cold,2018-01-27,22:00:00,23:00:00,night,0,0,417.71484375,"Moving 3 people from room 103 to room 116 saves 412.03515625 of electricity, power consumption will reduce from 7455.75390625 to 7043.71875",Turn off Computer in room 103,412.03515625
Computer,100,low cold,2018-01-28,04:00:00,05:00:00,early morning,0,0,450.109375,"Moving 15 people from room 103 to room 103 saves 415.65625 of electricity, power consumption will reduce from 2936.20703125 to 2520.55078125",Turn off Computer in room 103,415.65625
Computer,100,cold,2018-01-28,10:00:00,11:00:00,morning,14,7,382.46484375,None,Turn off Computer in room 111,375.37890625
Computer,100,low hot,2018-01-28,18:00:00,19:00:00,evening,14,1,451.18359375,"Moving 1 people from room 117 to room 115 saves 435.18359375 of electricity, power consumption will reduce from 3014.0546875 to 2578.87109375",Turn off Computer in room 117,435.18359375
Computer,100,low cold,2018-01-28,18:00:00,19:00:00,evening,15,49,459.6171875,"Moving 1 people from room 117 to room 115 saves 435.18359375 of electricity, power consumption will reduce from 3014.0546875 to 2578.87109375",Turn off Computer in room 117,435.18359375
Computer,100,low hot,2018-01-28,20:00:00,21:00:00,night,5,38,422.86328125,"Moving 4 people from room 107 to room 111 saves 429.6328125 of electricity, power consumption will reduce from 2742.96875 to 2313.3359375",Turn off Computer in room 107,429.6328125
Computer,100,very cold,2018-01-28,22:00:00,23:00:00,night,9,58,435.16796875,"Moving 6 people from room 102 to room 102 saves 394.09765625 of electricity, power consumption will reduce from 2878.640625 to 2484.54296875",Turn off Computer in room 102,394.09765625
Computer,100,low hot,2018-01-29,07:00:00,08:00:00,morning,15,48,438.30859375,"Moving 15 people from room 110 to room 100 saves 387.69140625 of electricity, power consumption will reduce from 2743.48046875 to 2355.7890625",Turn off Computer in room 110,387.69140625
Computer,100,low cold,2018-01-29,07:00:00,08:00:00,morning,9,29,431.59765625,"Moving 15 people from room 110 to room 100 saves 387.69140625 of electricity, power consumption will reduce from 2743.48046875 to 2355.7890625",Turn off Computer in room 110,387.69140625
Computer,100,very cold,2018-01-29,10:00:00,11:00:00,morning,6,32,380.24609375,"Moving 7 people from room 116 to room 101 saves 355.78515625 of electricity, power consumption will reduce from 2619.3046875 to 2263.51953125",Turn off Computer in room 116,355.78515625
Computer,100,very hot,2018-01-29,14:00:00,15:00:00,afternoon,0,0,401.7734375,None,Turn off Computer in room 100,401.7734375
