device,room,weather_type,date,from_time,to_time,time,no_of_people,time_stayed_mins,power,message,action,savings
AC,100,very hot,2018-01-01,00:00:00,01:00:00,midnight,4,4,1880.0,"Moving 2 people from room 113 to room 108 saves 1438.0 of electricity, power consumption will reduce from 11592.0 to 10154.0",Turn off AC in room 113,1438.0
AC,100,hot,2018-01-01,03:00:00,04:00:00,midnight,4,54,1337.0,"Moving 2 people from room 106 to room 104 saves 1341.0 of electricity, power consumption will reduce from 10397.0 to 9056.0",Turn off AC in room 106,1341.0
AC,100,hot,2018-01-01,06:00:00,07:00:00,early morning,6,51,1766.0,"Moving 2 people from room 110 to room 101 saves 1102.0 of electricity, power consumption will reduce from 9270.0 to 8168.0",Turn off AC in room 110,1102.0
AC,100,low hot,2018-01-01,10:00:00,11:00:00,morning,10,23,1582.0,"Moving 5 people from room 108 to room 101 saves 1730.0 of electricity, power consumption will reduce from 12048.0 to 10318.0",Turn off AC in room 108,1730.0
AC,100,low cold,2018-01-01,14:00:00,15:00:00,afternoon,14,39,1872.0,"Moving 5 people from room 105 to room 114 saves 1429.0 of electricity, power consumption will reduce from 10744.0 to 9315.0",Turn off AC in room 105,1429.0
AC,100,very hot,2018-01-01,21:00:00,22:00:00,night,6,27,1912.0,"Moving 5 people from room 114 to room 104 saves 1766.0 of electricity, power consumption will reduce from 10987.0 to 9221.0",Turn off AC in room 114,1766.0
AC,100,low hot,2018-01-02,03:00:00,04:00:00,midnight,11,59,1243.0,"Moving 3 people from room 107 to room 101 saves 1514.0 of electricity, power consumption will reduce from 10566.0 to 9052.0",Turn off AC in room 107,1514.0
AC,100,low hot,2018-01-02,03:00:00,04:00:00,midnight,2,53,1842.0,"Moving 3 people from room 107 to room 101 saves 1514.0 of electricity, power consumption will reduce from 10566.0 to 9052.0",Turn off AC in room 107,1514.0
AC,100,low hot,2018-01-02,05:00:00,06:00:00,early morning,0,0,1880.0,"Moving 9 people from room 102 to room 105 saves 1295.0 of electricity, power consumption will reduce from 10525.0 to 9230.0",Turn off AC in room 102,1295.0
AC,100,very cold,2018-01-02,07:00:00,08:00:00,morning,9,29,1363.0,"Moving 1 people from room 106 to room 100 saves 1416.0 of electricity, power consumption will reduce from 11110.0 to 9694.0",Turn off AC in room 106,1416.0
